"id","class","order","family","genus","species","authority","commonNameEnglish","taxonomyType","uniqueIdentifier"
2018302,"Mammalia","Rodentia","Muridae","Tateomys",NA,NA,"Tateomys Species","biological","8d4bd426-0d26-4a61-8cba-0264aa8288ce"
2018304,"Mammalia","Rodentia","Spalacidae","Eospalax",NA,NA,"Eospalax Species","biological","123edd44-bfb1-40e6-a941-643134daeba7"
2018305,"Mammalia","Rodentia","Cricetidae","Eothenomys",NA,NA,"Eothenomys Species","biological","138d4f26-3cce-4b03-ac34-139557055d67"
2018306,"Aves","Passeriformes","Viduidae","Anomalospiza",NA,NA,"Anomalospiza Species","biological","9ad0e5f0-e454-4dbb-bf70-bb0e0e2a05ad"
2018307,"Aves","Passeriformes","Passeridae","Passer",NA,NA,"Passer Species","biological","c8d53025-3def-4134-8401-b720cdb317bb"
2018308,"Aves","Passeriformes","Passeridae","Carpospiza",NA,NA,"Carpospiza Species","biological","d1bfe222-7d27-4f33-89ff-b1b86b5794bd"
2018310,"Aves","Passeriformes","Passeridae","Gymnoris",NA,NA,"Gymnoris Species","biological","babb451e-88b0-47ea-a94e-9e887eedf0e3"
2018311,"Aves","Passeriformes","Passeridae","Montifringilla",NA,NA,"Montifringilla Species","biological","0989fea3-162b-431b-b289-a7bcbffb9c03"
2018312,"Aves","Passeriformes","Passeridae","Onychostruthus",NA,NA,"Onychostruthus Species","biological","91c08b6a-2aad-40ed-9ad8-70ef5cc1df83"
2018313,"Aves","Passeriformes","Passeridae","Pyrgilauda",NA,NA,"Pyrgilauda Species","biological","4a91fd1b-7744-442e-8489-863e396a7bf9"
2018314,"Aves","Passeriformes","Passeridae","Hypocryptadius",NA,NA,"Hypocryptadius Species","biological","6bf61d75-6b5e-4705-be98-f5ed031f76a3"
2018316,"Aves","Passeriformes","Parulidae","Protonotaria",NA,NA,"Protonotaria Species","biological","a4de07dc-2bdf-41ca-bca4-d9dbe183ec70"
2018317,"Aves","Pelecaniformes","Scopidae","Scopus",NA,NA,"Scopus Species","biological","411a68d6-9cbc-4032-993a-413e2875f36a"
2018318,"Aves","Pelecaniformes","Balaenicipitidae","Balaeniceps",NA,NA,"Balaeniceps Species","biological","b3280bb3-3217-4087-b2d1-8d69bc9153bd"
2018319,"Aves","Pelecaniformes","Pelecanidae","Pelecanus",NA,NA,"Pelecanus Species","biological","d8387817-1b3b-4626-bcb0-808d697cbccd"
2018320,"Mammalia","Rodentia","Cricetidae","Megadontomys",NA,NA,"Megadontomys Species","biological","3452dc2a-0dba-4cd4-88df-3136654ed933"
2018321,"Mammalia","Chiroptera","Pteropodidae","Megaerops",NA,NA,"Megaerops Species","biological","2c2ebb75-bfca-4981-8e0f-95882f008774"
2018323,"Mammalia","Rodentia","Cricetidae","Megalomys",NA,NA,"Megalomys Species","biological","7acafe9e-b14a-4b8b-a325-14902720a1b6"
2018324,"Mammalia","Rodentia","Cricetidae","Megaoryzomys",NA,NA,"Megaoryzomys Species","biological","eaaca69e-1719-487d-90df-89f859cc8ec2"
2018325,"Mammalia","Cetartiodactyla","Balaenopteridae","Megaptera",NA,NA,"Megaptera Species","biological","0eba4923-4751-45ce-91af-5ba528eb0f93"
2018326,"Mammalia","Eulipotyphla","Soricidae","Megasorex",NA,NA,"Megasorex Species","biological","79ab4cc4-6625-4b6a-8202-12a74c1bf4ca"
2018327,"Mammalia","Rodentia","Cricetidae","Melanomys",NA,NA,"Melanomys Species","biological","c03efc41-8e5e-40e2-9579-da9323e1f6de"
2018328,"Mammalia","Cetartiodactyla","Bovidae","Pelea",NA,NA,"Pelea Species","biological","9e8dc724-c819-4a76-bc9f-ba98b36894e2"
2018329,"Mammalia","Rodentia","Muridae","Pelomys",NA,NA,"Pelomys Species","biological","eb8df339-62bf-4695-97fa-5bd6cf57977a"
2018330,"Aves","Passeriformes","Thraupidae","Trichothraupis",NA,NA,"Trichothraupis Species","biological","52c403d2-9139-475d-ba60-c399485f3e97"
2018332,"Aves","Passeriformes","Thraupidae","Coryphospingus",NA,NA,"Coryphospingus Species","biological","70c97151-ccd6-4aa0-bf51-b25c06310ce5"
2018333,"Aves","Passeriformes","Thraupidae","Maschalethraupis",NA,NA,"Maschalethraupis Species","biological","e0af4954-c18b-4fe2-b5b1-7e50f25034cf"
2018334,"Aves","Passeriformes","Thraupidae","Rhodospingus",NA,NA,"Rhodospingus Species","biological","7ec3746f-8a6b-418f-9bc6-035bfcca574f"
2018335,"Aves","Passeriformes","Thraupidae","Chrysocorypha",NA,NA,"Chrysocorypha Species","biological","a4aef605-d0f2-446a-807d-fed652a0f9c3"
2018336,"Aves","Passeriformes","Thraupidae","Lanio",NA,NA,"Lanio Species","biological","e6ae1839-f51e-4f37-a0ed-2aaf724aaa09"
2018338,"Aves","Passeriformes","Thraupidae","Ramphocelus",NA,NA,"Ramphocelus Species","biological","29cac17b-c76b-4d9e-b1ae-7d943c852024"
2018339,"Aves","Passeriformes","Thraupidae","Sporophila",NA,NA,"Sporophila Species","biological","fb59efb0-ff65-4203-8ce1-bbd40cac243d"
2018340,"Aves","Psittaciformes","Psittacidae","Vini",NA,NA,"Vini Species","biological","e91e97cb-25ce-4960-a2a3-60e3bbfea6f6"
2018341,"Aves","Psittaciformes","Psittacidae","Phigys",NA,NA,"Phigys Species","biological","05f4d158-bdc3-4b9d-bb2b-8832189f9fed"
2018342,"Aves","Psittaciformes","Psittacidae","Neopsittacus",NA,NA,"Neopsittacus Species","biological","ddacfa1f-4e67-4e34-9d8a-20eedab4c998"
2018343,"Aves","Psittaciformes","Psittacidae","Glossopsitta",NA,NA,"Glossopsitta Species","biological","70e8d71a-f3ce-4cdd-a8ca-a55bc511c41e"
2018344,"Aves","Psittaciformes","Psittacidae","Lorius",NA,NA,"Lorius Species","biological","375a6e79-18fb-4181-9131-5733a6d6152b"
2018346,"Aves","Psittaciformes","Psittacidae","Pseudeos",NA,NA,"Pseudeos Species","biological","4d7a407e-2e86-4f26-987a-b64b0cb2379e"
2018347,"Aves","Psittaciformes","Psittacidae","Psitteuteles",NA,NA,"Psitteuteles Species","biological","e63eab08-8fed-4127-a776-70b3f1eed2a4"
2018348,"Aves","Psittaciformes","Psittacidae","Eos",NA,NA,"Eos Species","biological","7eb4fbcc-bbec-41c1-825f-e30b7a4e6979"
2018349,"Aves","Psittaciformes","Psittacidae","Trichoglossus",NA,NA,"Trichoglossus Species","biological","546a246f-25b2-4950-b552-b53ac9264227"
2018351,"Mammalia","Rodentia","Cricetidae","Ochrotomys",NA,NA,"Ochrotomys Species","biological","62f8bd29-14a9-4f54-a6f4-5f2235e1342c"
2018353,"Mammalia","Rodentia","Octodontidae","Octodontomys",NA,NA,"Octodontomys Species","biological","05402424-0263-4bde-a7f3-715e507f4574"
2018354,"Mammalia","Rodentia","Octodontidae","Octomys",NA,NA,"Octomys Species","biological","cba9b444-6b2c-46c1-bd13-6aff7205abe2"
2018355,"Mammalia","Carnivora","Odobenidae","Odobenus",NA,NA,"Odobenus Species","biological","736b5c05-4295-4a9b-835e-908677ed5c46"
2018356,"Mammalia","Cetartiodactyla","Cervidae","Odocoileus",NA,NA,"Odocoileus Species","biological","b52529fa-320f-41e8-97ec-fa41ce26c86a"
2018357,"Mammalia","Rodentia","Cricetidae","Oecomys",NA,NA,"Oecomys Species","biological","e34071b4-7549-4770-b040-8582a8eb43a9"
2018360,"Aves","Charadriiformes","Charadriidae","Hoploxypterus",NA,NA,"Hoploxypterus Species","biological","84b380ec-3d2c-4761-9a24-e9632de99a4d"
2018361,"Aves","Charadriiformes","Charadriidae","Vanellus",NA,NA,"Vanellus Species","biological","0f02f0ca-4d10-4a5c-b68e-6224957694ba"
2018362,"Aves","Charadriiformes","Charadriidae","Erythrogonys",NA,NA,"Erythrogonys Species","biological","7ae9885a-07ab-47e5-90dd-2414074a0665"
2018363,"Aves","Charadriiformes","Charadriidae","Peltohyas",NA,NA,"Peltohyas Species","biological","2d9d4732-a139-4c1f-887c-015ce5d08483"
2018365,"Aves","Charadriiformes","Pedionomidae","Pedionomus",NA,NA,"Pedionomus Species","biological","50a1f155-eaaf-42a3-b15e-dcd61c2cd154"
2018366,"Aves","Charadriiformes","Thinocoridae","Attagis",NA,NA,"Attagis Species","biological","2f59e2d6-4af0-4a30-a732-a03e1b296d38"
2018367,"Aves","Charadriiformes","Thinocoridae","Thinocorus",NA,NA,"Thinocorus Species","biological","59400080-b0f0-4604-b2e7-441e8fa409e2"
2018368,"Aves","Charadriiformes","Rostratulidae","Rostratula",NA,NA,"Rostratula Species","biological","ddd11630-88cc-4f70-ac2d-dbb45b68e393"
2018369,"Aves","Charadriiformes","Rostratulidae","Nycticryphes",NA,NA,"Nycticryphes Species","biological","5b384428-cca2-47d1-94f6-86b7ac43e957"
