"id","class","order","family","genus","species","commonNameEnglish"
192,"Mammalia","Dasyuromorphia","Dasyuridae","Antechinus","adustus","Rusty Antechinus"
193,"Mammalia","Dasyuromorphia","Dasyuridae","Antechinus","agilis","Agile Antechinus"
194,"Mammalia","Dasyuromorphia","Dasyuridae","Antechinus","bellus","Fawn Antechinus"
195,"Mammalia","Dasyuromorphia","Dasyuridae","Antechinus","flavipes","Yellow-footed Antechinus"
196,"Mammalia","Dasyuromorphia","Dasyuridae","Antechinus","godmani","Atherton Antechinus"
197,"Mammalia","Dasyuromorphia","Dasyuridae","Antechinus","leo","Cinnamon Antechinus"
198,"Mammalia","Dasyuromorphia","Dasyuridae","Antechinus","minimus","Swamp Antechinus"
199,"Mammalia","Dasyuromorphia","Dasyuridae","Antechinus","stuartii","Brown Antechinus"
200,"Mammalia","Dasyuromorphia","Dasyuridae","Antechinus","subtropicus","Subtropical Antechinus"
201,"Mammalia","Dasyuromorphia","Dasyuridae","Antechinus","swainsonii","Dusky Antechinus"
202,"Mammalia","Chiroptera","Hipposideridae","Anthops","ornatus","Solomons Leaf-nosed Bat"
203,"Mammalia","Cetartiodactyla","Bovidae","Antidorcas","marsupialis","Springbok"
204,"Mammalia","Cetartiodactyla","Antilocapridae","Antilocapra","americana","Pronghorn"
205,"Mammalia","Cetartiodactyla","Bovidae","Antilope","cervicapra","Blackbuck"
206,"Mammalia","Chiroptera","Vespertilionidae","Antrozous","pallidus","Pallid Bat"
207,"Mammalia","Carnivora","Mustelidae","Aonyx","capensis","African Clawless Otter"
208,"Mammalia","Carnivora","Mustelidae","Aonyx","cinereus","Asian Small-clawed Otter"
209,"Mammalia","Carnivora","Mustelidae","Aonyx","congicus","Congo Clawless Otter"
210,"Mammalia","Primates","Aotidae","Aotus","azarae","Azara's Night Monkey"
211,"Mammalia","Primates","Aotidae","Aotus","brumbacki","Brumback's Night Monkey"
212,"Mammalia","Primates","Aotidae","Aotus","griseimembra","Grey-handed Night Monkey"
213,"Mammalia","Primates","Aotidae","Aotus","jorgehernandezi","Hernández-Camacho's Night Monkey"
214,"Mammalia","Primates","Aotidae","Aotus","lemurinus","Colombian Night Monkey"
215,"Mammalia","Primates","Aotidae","Aotus","miconax","Andean Night Monkey"
216,"Mammalia","Primates","Aotidae","Aotus","nancymaae","Nancy Ma's Night Monkey"
217,"Mammalia","Primates","Aotidae","Aotus","nigriceps","Black-headed Night Monkey"
218,"Mammalia","Primates","Aotidae","Aotus","trivirgatus","Northern Night Monkey"
219,"Mammalia","Primates","Aotidae","Aotus","vociferans","Spix's Night Monkey"
220,"Mammalia","Primates","Aotidae","Aotus","zonalis","Panamanian Night Monkey"
221,"Mammalia","Rodentia","Aplodontiidae","Aplodontia","rufa","Mountain Beaver"
222,"Mammalia","Rodentia","Muridae","Apodemus","agrarius","Striped Field Mouse"
223,"Mammalia","Rodentia","Muridae","Apodemus","alpicola","Alpine Field Mouse"
224,"Mammalia","Rodentia","Muridae","Apodemus","argenteus","Small Japanese Field Mouse"
225,"Mammalia","Rodentia","Muridae","Apodemus","avicennicus","Persian Wood Mouse"
226,"Mammalia","Rodentia","Muridae","Apodemus","chevrieri","Chevrier's Field Mouse"
227,"Mammalia","Rodentia","Muridae","Apodemus","draco","South China Field Mouse"
228,"Mammalia","Rodentia","Muridae","Apodemus","epimelas","Western Broad-toothed Field Mouse"
229,"Mammalia","Rodentia","Muridae","Apodemus","flavicollis","Yellow-necked Field Mouse"
230,"Mammalia","Rodentia","Muridae","Apodemus","gurkha","Nepalese Field Mouse"
231,"Mammalia","Rodentia","Muridae","Apodemus","hyrcanicus","Hyrcanian Field Mouse"
232,"Mammalia","Rodentia","Muridae","Apodemus","latronum","Large-eared Field Mouse"
233,"Mammalia","Rodentia","Muridae","Apodemus","mystacinus","Eastern Broad-toothed Field Mouse"
234,"Mammalia","Rodentia","Muridae","Apodemus","pallipes","Himalayan Field Mouse"
235,"Mammalia","Rodentia","Muridae","Apodemus","peninsulae","Korean Field Mouse"
236,"Mammalia","Rodentia","Muridae","Apodemus","ponticus","Black Sea Field Mouse"
237,"Mammalia","Rodentia","Muridae","Apodemus","rusiges","Kashmir Field Mouse"
238,"Mammalia","Rodentia","Muridae","Apodemus","semotus","Taiwan Field Mouse"
239,"Mammalia","Rodentia","Muridae","Apodemus","speciosus","Large Japanese Field Mouse"
240,"Mammalia","Rodentia","Muridae","Apodemus","sylvaticus","Long-tailed Field Mouse"
241,"Mammalia","Rodentia","Muridae","Apodemus","uralensis","Herb Field Mouse"
242,"Mammalia","Rodentia","Muridae","Apodemus","witherbyi","Steppe Field Mouse"
243,"Mammalia","Rodentia","Muridae","Apomys","abrae","Luzon Cordillera Apomys"
244,"Mammalia","Rodentia","Muridae","Apomys","aurorae","Aurora Forest Mouse"
245,"Mammalia","Rodentia","Muridae","Apomys","banahao","Banahaw Forest Mouse"
246,"Mammalia","Rodentia","Muridae","Apomys","brownorum","Mt. Tapulao Forest Mouse"
247,"Mammalia","Rodentia","Muridae","Apomys","camiguinensis","Camiguin Forest Mouse"
248,"Mammalia","Rodentia","Muridae","Apomys","datae","Northern Luzon Apomys"
249,"Mammalia","Rodentia","Muridae","Apomys","gracilirostris","Large Mindoro Apomys"
250,"Mammalia","Rodentia","Muridae","Apomys","hylocetes","Mindanao Mossy Forest Apomys"
251,"Mammalia","Rodentia","Muridae","Apomys","insignis","Mindanao Montane Forest Mouse"
252,"Mammalia","Rodentia","Muridae","Apomys","littoralis","Mindanao Lowland Apomys"
253,"Mammalia","Rodentia","Muridae","Apomys","magnus","Lowland Banahaw Forest Mouse"
254,"Mammalia","Rodentia","Muridae","Apomys","microdon","Small Luzon Apomys"
255,"Mammalia","Rodentia","Muridae","Apomys","minganensis","Mingan Forest Mouse"
256,"Mammalia","Rodentia","Muridae","Apomys","musculus","Least Philippine Apomys"
257,"Mammalia","Rodentia","Muridae","Apomys","sacobianus","Long-nosed Luzon Apomys"
258,"Mammalia","Rodentia","Muridae","Apomys","sierrae","Sierra Madre Forest Mouse"
259,"Mammalia","Rodentia","Muridae","Apomys","zambalensis","Zambales Forest Mouse"
260,"Mammalia","Chiroptera","Pteropodidae","Aproteles","bulmerae","Bulmer's Fruit Bat"
261,"Mammalia","Cetartiodactyla","Bovidae","Arabitragus","jayakari","Arabian Tahr"
262,"Mammalia","Rodentia","Cricetidae","Arborimus","albipes","White-footed Vole"
263,"Mammalia","Rodentia","Cricetidae","Arborimus","longicaudus","Red Tree Vole"
264,"Mammalia","Rodentia","Cricetidae","Arborimus","pomo","Sonoma Tree Vole"
265,"Mammalia","Rodentia","Muridae","Archboldomys","luzonensis","Isarog Shrew Mouse"
266,"Mammalia","Rodentia","Muridae","Archboldomys","maximus","Large Cordillera Shrew Mouse"
267,"Mammalia","Carnivora","Viverridae","Arctictis","binturong","Binturong"
268,"Mammalia","Primates","Lorisidae","Arctocebus","aureus","Golden Angwantibo"
269,"Mammalia","Primates","Lorisidae","Arctocebus","calabarensis","Calabar Angwantibo"
17455,"Mammalia","Rodentia","Muridae","Archboldomys",NA,NA
270,"Mammalia","Carnivora","Otariidae","Arctocephalus","australis","South American Fur Seal"
271,"Mammalia","Carnivora","Otariidae","Arctocephalus","forsteri","New Zealand Fur Seal"
272,"Mammalia","Carnivora","Otariidae","Arctocephalus","galapagoensis","Galápagos Fur Seal"
273,"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Antarctic Fur Seal"
274,"Mammalia","Carnivora","Otariidae","Arctocephalus","philippii","Juan Fernández Fur Seal"
275,"Mammalia","Carnivora","Otariidae","Arctocephalus","pusillus","Afro-Australian Fur Seal"
276,"Mammalia","Carnivora","Otariidae","Arctocephalus","townsendi","Guadalupe Fur Seal"
277,"Mammalia","Carnivora","Otariidae","Arctocephalus","tropicalis","Subantarctic Fur Seal"
278,"Mammalia","Carnivora","Viverridae","Arctogalidia","trivirgata","Small-toothed Palm Civet"
279,"Mammalia","Carnivora","Mustelidae","Arctonyx","albogularis","Northern Hog Badger"
280,"Mammalia","Carnivora","Mustelidae","Arctonyx","collaris","Greater Hog Badger"
281,"Mammalia","Carnivora","Mustelidae","Arctonyx","hoevenii","Sumatran Hog Badger"
282,"Mammalia","Chiroptera","Phyllostomidae","Ardops","nichollsi","Tree Bat"
283,"Mammalia","Chiroptera","Vespertilionidae","Arielulus","aureocollaris","Collared Sprite"
284,"Mammalia","Chiroptera","Vespertilionidae","Arielulus","circumdatus","Bronze Sprite"
285,"Mammalia","Chiroptera","Vespertilionidae","Arielulus","cuprosus","Coppery Sprite"
286,"Mammalia","Chiroptera","Vespertilionidae","Arielulus","societatis","Social Sprite"
287,"Mammalia","Chiroptera","Vespertilionidae","Arielulus","torquatus","Necklace Sprite"
288,"Mammalia","Chiroptera","Phyllostomidae","Ariteus","flavescens","Jamaican Fig-eating Bat"
289,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","amplus","Large Fruit-eating Bat"
290,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","concolor","Brown Fruit-eating Bat"
291,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","fimbriatus","Fringed Fruit-eating Bat"
292,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","fraterculus","Fraternal Fruit-eating Bat"
293,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","hirsutus","Hairy Fruit-eating Bat"
294,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","inopinatus","Honduran Fruit-eating Bat"
295,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","jamaicensis","Jamaican Fruit-eating Bat"
296,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","lituratus","Great Fruit-eating Bat"
297,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","obscurus","Dark Fruit-eating Bat"
298,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","planirostris","Flat-faced Fruit-eating Bat"
299,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","schwartzi",NA
