"project_id","deployment_id","placename","longitude","latitude","start_date","end_date","event","array_name","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","recorded_by"
1,"I9_site-2018-06-23T00:00:00.000Z-2018-08-13T00:00:00.000Z","I9_site",-122.85256,50.91954,"2018-06-23T00:00:00.000Z","2018-08-13T00:00:00.000Z","","","None","","None","",118,"","Camera Functioning","Unknown","","Parallel","",""
1,"G6_site-2018-06-13T00:00:00.000Z-2018-08-23T00:00:00.000Z","G6_site",-122.93003,50.999161,"2018-06-13T00:00:00.000Z","2018-08-23T00:00:00.000Z","","","None","","None","",234,"","Camera Functioning","Unknown","","Parallel","",""
1,"K5_site-2018-07-06T00:00:00.000Z-2018-09-16T00:00:00.000Z","K5_site",-122.76151,51.02452,"2018-07-06T00:00:00.000Z","2018-09-16T00:00:00.000Z","","","None","","None","",114,"","Camera Functioning","Unknown","","Parallel","",""
1,"J9_site-2018-07-31T00:00:00.000Z-2018-09-16T00:00:00.000Z","J9_site",-122.81328,50.93117,"2018-07-31T00:00:00.000Z","2018-09-16T00:00:00.000Z","","","None","","None","",130,"","Camera Functioning","Unknown","","Parallel","",""
1,"K8_site-2018-06-01T00:00:00.000Z-2018-07-06T00:00:00.000Z","K8_site",-122.78191,50.94349,"2018-06-01T00:00:00.000Z","2018-07-06T00:00:00.000Z","","","None","","None","",115,"","Camera Functioning","Unknown","","Parallel","",""
1,"I10-2018-06-04T00:00:00.000Z-2018-08-03T00:00:00.000Z","I10",-122.84893,50.89405,"2018-06-04T00:00:00.000Z","2018-08-03T00:00:00.000Z","","","None","","None","",135,"","Camera Functioning","Unknown","","Parallel","",""
1,"H3_site-2018-06-21T00:00:00.000Z-2018-08-11T00:00:00.000Z","H3_site",-122.869756,51.1021,"2018-06-21T00:00:00.000Z","2018-08-11T00:00:00.000Z","","","None","","None","",136,"","Camera Functioning","Unknown","","Parallel","",""
1,"C9_site-2018-07-08T00:00:00.000Z-2018-07-27T00:00:00.000Z","C9_site",-123.07291,50.92682,"2018-07-08T00:00:00.000Z","2018-07-27T00:00:00.000Z","","","None","","None","",6,"","Camera Functioning","Unknown","","Parallel","",""
1,"K7_site-2018-08-05T00:00:00.000Z-2018-09-16T00:00:00.000Z","K7_site",-122.77025,50.9702,"2018-08-05T00:00:00.000Z","2018-09-16T00:00:00.000Z","","","None","","None","",3,"","Camera Functioning","Unknown","","Parallel","",""
1,"H11_site-2018-06-30T00:00:00.000Z-2018-09-03T00:00:00.000Z","H11_site",-122.89162,50.8798,"2018-06-30T00:00:00.000Z","2018-09-03T00:00:00.000Z","","","None","","None","",110,"","Camera Functioning","Unknown","","Parallel","",""
